Epoch,Loss,Accuracy
1,3.1382741928100586,0.16796875
2,2.6674318313598633,0.2861328125
3,2.04673433303833,0.3916015625
4,1.860264778137207,0.419921875
5,1.7427698373794556,0.4296875
6,1.6321537494659424,0.482421875
7,1.5568740367889404,0.4931640625
8,1.506630539894104,0.505859375
9,1.4941662549972534,0.494140625
10,1.4397369623184204,0.51953125
11,1.4063318967819214,0.5439453125
12,1.3687118291854858,0.5390625
13,1.3625221252441406,0.556640625
14,1.3025717735290527,0.548828125
15,1.2992477416992188,0.56640625
16,1.3019334077835083,0.5576171875
17,1.2488234043121338,0.5625
18,1.2487566471099854,0.5810546875
19,1.222935676574707,0.5869140625
20,1.218367338180542,0.583984375
21,1.2265417575836182,0.5927734375
22,1.1822928190231323,0.5947265625
23,1.1835565567016602,0.5947265625
24,1.1819692850112915,0.5908203125
25,1.1542441844940186,0.6181640625
26,1.1188933849334717,0.6103515625
27,1.1205087900161743,0.6171875
28,1.0960798263549805,0.623046875
29,1.0955899953842163,0.6357421875
30,1.0752196311950684,0.6162109375
31,1.0831738710403442,0.6259765625
32,1.0500736236572266,0.642578125
33,1.0418542623519897,0.6455078125
34,1.0421619415283203,0.6318359375
35,1.0675266981124878,0.6416015625
36,1.049544334411621,0.6474609375
37,1.0545108318328857,0.6376953125
38,1.0356125831604004,0.6396484375
39,1.013537049293518,0.6533203125
40,0.9819349050521851,0.669921875
41,1.008488416671753,0.6494140625
42,1.0141997337341309,0.638671875
43,0.9931827783584595,0.65625
44,0.9805394411087036,0.6630859375
45,0.9699622392654419,0.662109375
46,0.9825798869132996,0.6513671875
47,0.9601813554763794,0.6708984375
48,0.9865553379058838,0.6669921875
49,0.9690161347389221,0.666015625
50,0.950824499130249,0.6630859375
51,0.9460607767105103,0.6845703125
52,0.9415436387062073,0.6708984375
53,0.9629597663879395,0.66796875
54,0.9335730075836182,0.6728515625
55,0.9011503458023071,0.6787109375
56,0.9262122511863708,0.6953125
57,0.9276731610298157,0.66015625
58,0.9268355965614319,0.6953125
59,0.8821635842323303,0.6923828125
60,0.8861979246139526,0.6923828125
61,0.898013710975647,0.6826171875
62,0.8991127014160156,0.681640625
63,0.8936673402786255,0.705078125
64,0.8957564830780029,0.697265625
65,0.8794502019882202,0.7001953125
66,0.904202938079834,0.685546875
67,0.8734931349754333,0.701171875
68,0.8506460785865784,0.7080078125
69,0.8559072017669678,0.697265625
70,0.8481765985488892,0.7001953125
71,0.826319694519043,0.71875
72,0.8479487895965576,0.7138671875
73,0.8260949850082397,0.7099609375
74,0.8497583270072937,0.6943359375
75,0.8190613985061646,0.712890625
76,0.833654522895813,0.7197265625
77,0.818688154220581,0.724609375
78,0.8046661615371704,0.71484375
79,0.7802801132202148,0.728515625
80,0.8121442198753357,0.7314453125
81,0.8554642200469971,0.7119140625
82,0.8091407418251038,0.7255859375
83,0.8230319023132324,0.7041015625
84,0.7705603241920471,0.7353515625
85,0.8141114115715027,0.7314453125
86,0.7828737497329712,0.7333984375
87,0.8029462695121765,0.71484375
88,0.7867515683174133,0.720703125
89,0.7771872282028198,0.73828125
90,0.820610523223877,0.720703125
91,0.7560129761695862,0.7529296875
92,0.7698329091072083,0.724609375
93,0.7786794900894165,0.728515625
94,0.7601823210716248,0.740234375
95,0.7831577062606812,0.732421875
96,0.7920589447021484,0.7314453125
97,0.7592101693153381,0.740234375
98,0.7617262601852417,0.7392578125
99,0.7210353016853333,0.744140625
100,0.7638092041015625,0.72265625
101,0.7676355838775635,0.73828125
102,0.7593950033187866,0.7392578125
103,0.7478298544883728,0.7451171875
104,0.7512719631195068,0.7431640625
105,0.722663402557373,0.7451171875
106,0.7201825976371765,0.748046875
107,0.7539283037185669,0.7578125
108,0.7525007724761963,0.744140625
109,0.7370821833610535,0.7373046875
110,0.7591952085494995,0.7587890625
111,0.747959554195404,0.7451171875
112,0.7370926737785339,0.7451171875
113,0.6910953521728516,0.7734375
114,0.6950711011886597,0.7646484375
115,0.7443572282791138,0.740234375
116,0.7525100708007812,0.7412109375
117,0.7060282230377197,0.7548828125
118,0.7007137537002563,0.7685546875
119,0.6917855739593506,0.77734375
120,0.6973049640655518,0.767578125
121,0.7253909111022949,0.75390625
122,0.6931729912757874,0.7646484375
123,0.7124578356742859,0.7548828125
124,0.7098121643066406,0.7451171875
125,0.6590921878814697,0.7734375
126,0.6978257894515991,0.759765625
127,0.6734394431114197,0.7626953125
128,0.7119635343551636,0.771484375
129,0.6790657639503479,0.7724609375
130,0.6651451587677002,0.7705078125
