Epoch,Loss,Accuracy
1,1.8332366943359375,0.4599609375
2,1.5372644662857056,0.5087890625
3,1.3854180574417114,0.5498046875
4,1.2459750175476074,0.5810546875
5,1.202545404434204,0.59375
6,1.1557800769805908,0.6220703125
7,1.1324974298477173,0.6123046875
8,1.0617660284042358,0.6376953125
9,1.0141830444335938,0.658203125
10,1.025533676147461,0.6416015625
11,0.9489501118659973,0.681640625
12,0.919323205947876,0.69140625
13,0.9024970531463623,0.7060546875
14,0.8653576374053955,0.7197265625
15,0.8686588406562805,0.6982421875
16,0.8272339105606079,0.7177734375
17,0.763903021812439,0.7431640625
18,0.7419280409812927,0.748046875
19,0.7261919379234314,0.75
20,0.7155381441116333,0.7646484375
21,0.6875898838043213,0.7626953125
22,0.6729691028594971,0.759765625
23,0.6627014875411987,0.7724609375
24,0.6411805152893066,0.7861328125
25,0.5921103954315186,0.796875
26,0.6144700050354004,0.7802734375
27,0.5310852527618408,0.8125
28,0.5605900287628174,0.8193359375
29,0.538477897644043,0.814453125
30,0.5594704151153564,0.8046875
31,0.5123822689056396,0.8193359375
32,0.5171065926551819,0.810546875
33,0.4890821874141693,0.83203125
34,0.4680722951889038,0.83984375
35,0.4311562776565552,0.8486328125
36,0.40580886602401733,0.8642578125
37,0.4010188579559326,0.8642578125
38,0.39698320627212524,0.8564453125
39,0.39361539483070374,0.8671875
40,0.37702691555023193,0.8681640625
41,0.33845603466033936,0.884765625
42,0.40291428565979004,0.8525390625
43,0.3452081084251404,0.884765625
44,0.3427424132823944,0.8798828125
45,0.3286067247390747,0.880859375
46,0.32769930362701416,0.8857421875
47,0.321796178817749,0.8828125
48,0.299894243478775,0.884765625
49,0.3056756258010864,0.8994140625
50,0.3016284108161926,0.896484375
51,0.28677988052368164,0.900390625
52,0.29063475131988525,0.9111328125
53,0.2530611753463745,0.919921875
54,0.2730051875114441,0.90625
55,0.27020585536956787,0.9150390625
56,0.2505076825618744,0.912109375
57,0.3002496361732483,0.9072265625
58,0.24934306740760803,0.8984375
59,0.23549579083919525,0.9140625
60,0.2320260852575302,0.9189453125
61,0.26393353939056396,0.9111328125
62,0.24491336941719055,0.9267578125
63,0.230107843875885,0.9267578125
64,0.2324441373348236,0.923828125
65,0.21697965264320374,0.921875
66,0.2350267767906189,0.9345703125
67,0.23284167051315308,0.9228515625
68,0.21666815876960754,0.9248046875
69,0.23279818892478943,0.9111328125
70,0.23514020442962646,0.9287109375
71,0.22791029512882233,0.9267578125
72,0.2430470585823059,0.908203125
73,0.22380296885967255,0.9208984375
74,0.18833748996257782,0.9326171875
75,0.2098868042230606,0.9296875
76,0.1895272433757782,0.9365234375
77,0.19432209432125092,0.9287109375
78,0.22371432185173035,0.91796875
79,0.18390929698944092,0.9404296875
80,0.1831986904144287,0.943359375
